"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 25 11:38:40 SAMT 2025","Tue Nov 25 11:38:41 SAMT 2025","926","","UserTest","","UserTest","testCreateUserSuccess","Создание уникального пользователя","Проверяет успешное создание уникального пользователя с валидными данными"
"passed","Tue Nov 25 11:38:44 SAMT 2025","Tue Nov 25 11:38:45 SAMT 2025","996","","OrderTest","","OrderTest","testCreateOrderWithoutIngredientsFailure","Создание заказа с авторизацией без ингредиентов","Проверяет ошибку при попытке создать заказ с авторизацией, но без ингредиентов"
"passed","Tue Nov 25 11:38:45 SAMT 2025","Tue Nov 25 11:38:49 SAMT 2025","4042","","OrderTest","","OrderTest","testCreateOrderWithTokenSuccess","Создание заказа с авторизацией и ингредиентами","Проверяет успешное создание заказа с авторизацией и валидными ингредиентами"
"passed","Tue Nov 25 11:38:42 SAMT 2025","Tue Nov 25 11:38:43 SAMT 2025","1118","","OrderTest","","OrderTest","testCreateOrderWithWrongIngredientsFailure","Создание заказа с авторизацией и неверным хэшем ингредиентов","Проверяет ошибку при попытке создать заказ с авторизацией и неверными хэшами ингредиентов"
"passed","Tue Nov 25 11:38:41 SAMT 2025","Tue Nov 25 11:38:41 SAMT 2025","116","","LoginTest","","LoginTest","testLoginWrongLoginFailure","Логин с неверным логином","Проверяет ошибку при входе с неверным логином и правильным паролем"
"passed","Tue Nov 25 11:38:42 SAMT 2025","Tue Nov 25 11:38:42 SAMT 2025","113","","LoginTest","","LoginTest","testLoginWrongPasswordFailure","Логин с неверным паролем","Проверяет ошибку при входе с правильным логином и неверным паролем"
"passed","Tue Nov 25 11:38:41 SAMT 2025","Tue Nov 25 11:38:42 SAMT 2025","1081","","LoginTest","","LoginTest","testLoginExistingUserSuccess","Логин под существующим пользователем","Проверяет успешный вход с валидными данными"
"passed","Tue Nov 25 11:38:36 SAMT 2025","Tue Nov 25 11:38:40 SAMT 2025","3565","","UserTest","","UserTest","testCreateDoubleUserFailure","Создание пользователя, который уже зарегистрирован","Проверяет ошибку при попытке создать пользователя, который уже существует"
"passed","Tue Nov 25 11:38:40 SAMT 2025","Tue Nov 25 11:38:40 SAMT 2025","121","","UserTest","","UserTest","testCreateUserWithoutEmailFailure","Создание пользователя без обязательного поля","Проверяет ошибку при попытке создать пользователя без заполнения одного из обязательных полей (email)"
"passed","Tue Nov 25 11:38:43 SAMT 2025","Tue Nov 25 11:38:44 SAMT 2025","992","","OrderTest","","OrderTest","testCreateOrderWithoutTokenSuccess","Создание заказа без авторизации с ингредиентами","Проверяет успешное создание заказа без авторизации, но с валидными ингредиентами"
